items
"['B', 'D', 'F', 'I', 'K', 'N']"
"['C', 'E', 'I', 'L', 'M', 'N']"
"['C', 'E', 'H', 'L', 'M', 'P']"
"['A', 'F', 'G', 'H', 'L', 'Q']"
"['A', 'B', 'J', 'K', 'L', 'Q']"
"['D', 'H', 'J', 'K', 'L', 'P']"
"['B', 'E', 'J', 'N', 'O', 'Q']"
"['E', 'I', 'J', 'M', 'N', 'P']"
"['D', 'H', 'I', 'J', 'K', 'M']"
"['B', 'F', 'G', 'H', 'I', 'M']"
"['A', 'B', 'D', 'E', 'G', 'N']"
"['E', 'F', 'I', 'N', 'P', 'Q']"
"['C', 'I', 'K', 'L', 'N', 'O']"
"['C', 'D', 'E', 'N', 'O', 'Q']"
"['C', 'D', 'G', 'K', 'L', 'Q']"
"['B', 'C', 'D', 'F', 'I', 'K']"
"['A', 'C', 'D', 'F', 'K', 'P']"
"['B', 'E', 'G', 'H', 'J', 'Q']"
"['A', 'C', 'E', 'I', 'O', 'Q']"
"['B', 'C', 'F', 'K', 'P', 'Q']"
"['E', 'G', 'I', 'K', 'L', 'M']"
"['B', 'H', 'K', 'N', 'O', 'Q']"
"['A', 'E', 'J', 'L', 'N', 'Q']"
"['A', 'F', 'H', 'I', 'J', 'P']"
"['E', 'F', 'H', 'O', 'P', 'Q']"
"['B', 'D', 'G', 'L', 'O', 'P']"
"['D', 'G', 'H', 'N', 'P', 'Q']"
"['B', 'E', 'K', 'M', 'N', 'P']"
"['D', 'E', 'I', 'J', 'K', 'N']"
"['B', 'D', 'E', 'K', 'M', 'Q']"
"['B', 'I', 'L', 'M', 'N', 'P']"
"['E', 'H', 'J', 'K', 'L', 'P']"
"['A', 'C', 'J', 'K', 'M', 'O']"
"['A', 'C', 'D', 'H', 'I', 'M']"
"['A', 'B', 'C', 'I', 'K', 'Q']"
"['C', 'E', 'H', 'L', 'M', 'O']"
"['B', 'D', 'J', 'L', 'N', 'P']"
"['C', 'E', 'L', 'M', 'N', 'P']"
"['B', 'D', 'G', 'I', 'J', 'P']"
"['A', 'B', 'D', 'G', 'I', 'P']"
"['A', 'B', 'E', 'I', 'P', 'Q']"
"['A', 'B', 'G', 'H', 'M', 'P']"
"['A', 'D', 'F', 'J', 'L', 'Q']"
"['C', 'D', 'E', 'G', 'J', 'Q']"
"['B', 'C', 'F', 'G', 'I', 'M']"
"['C', 'D', 'E', 'M', 'N', 'P']"
"['A', 'B', 'F', 'L', 'N', 'O']"
"['A', 'B', 'F', 'L', 'M', 'P']"
"['A', 'B', 'E', 'J', 'O', 'P']"
"['A', 'C', 'D', 'E', 'J', 'N']"
"['A', 'B', 'E', 'G', 'J', 'L']"
"['A', 'B', 'I', 'L', 'M', 'N']"
"['B', 'C', 'F', 'H', 'J', 'O']"
"['A', 'G', 'I', 'J', 'M', 'N']"
"['B', 'D', 'E', 'M', 'N', 'O']"
"['B', 'C', 'D', 'N', 'O', 'Q']"
"['B', 'F', 'G', 'I', 'J', 'M']"
"['A', 'E', 'F', 'K', 'M', 'Q']"
"['D', 'E', 'F', 'I', 'K', 'L']"
"['D', 'F', 'G', 'J', 'M', 'O']"
"['A', 'C', 'H', 'I', 'K', 'N']"
"['G', 'H', 'I', 'K', 'L', 'N']"
"['I', 'K', 'M', 'N', 'O', 'Q']"
"['A', 'B', 'E', 'F', 'M', 'N']"
"['A', 'G', 'J', 'M', 'N', 'O']"
"['D', 'H', 'I', 'J', 'O', 'P']"
"['A', 'B', 'D', 'J', 'O', 'Q']"
"['E', 'F', 'G', 'M', 'N', 'Q']"
"['B', 'F', 'G', 'I', 'L', 'O']"
"['A', 'E', 'F', 'K', 'L', 'P']"
"['B', 'D', 'G', 'H', 'K', 'Q']"
"['A', 'B', 'E', 'F', 'L', 'Q']"
"['D', 'E', 'F', 'H', 'J', 'L']"
"['D', 'E', 'F', 'J', 'K', 'N']"
"['E', 'F', 'G', 'K', 'O', 'Q']"
"['D', 'F', 'I', 'L', 'N', 'Q']"
"['C', 'F', 'H', 'K', 'M', 'N']"
"['E', 'F', 'H', 'J', 'K', 'L']"
"['A', 'D', 'G', 'H', 'K', 'O']"
"['A', 'E', 'H', 'J', 'L', 'M']"
"['E', 'H', 'J', 'K', 'M', 'Q']"
"['F', 'G', 'H', 'J', 'N', 'O']"
"['B', 'C', 'J', 'L', 'P', 'Q']"
"['A', 'C', 'J', 'O', 'P', 'Q']"
"['C', 'D', 'E', 'H', 'M', 'O']"
"['B', 'E', 'F', 'J', 'P', 'Q']"
"['A', 'F', 'G', 'I', 'J', 'L']"
"['C', 'G', 'H', 'I', 'L', 'Q']"
"['A', 'B', 'C', 'H', 'M', 'P']"
"['C', 'D', 'E', 'F', 'K', 'P']"
"['D', 'F', 'K', 'L', 'M', 'P']"
"['A', 'C', 'H', 'K', 'L', 'N']"
"['C', 'D', 'E', 'F', 'I', 'N']"
"['D', 'G', 'J', 'K', 'M', 'O']"
"['D', 'F', 'L', 'M', 'N', 'Q']"
"['C', 'E', 'G', 'L', 'P', 'Q']"
"['B', 'C', 'F', 'I', 'K', 'N']"
"['B', 'H', 'J', 'K', 'L', 'O']"
"['A', 'D', 'G', 'H', 'L', 'O']"
"['D', 'E', 'F', 'G', 'H', 'M']"
"['B', 'D', 'E', 'G', 'I', 'P']"
"['B', 'D', 'I', 'L', 'M', 'P']"
"['E', 'G', 'J', 'K', 'N', 'P']"
"['B', 'D', 'E', 'K', 'P', 'Q']"
"['A', 'C', 'F', 'K', 'L', 'N']"
"['B', 'D', 'F', 'H', 'K', 'N']"
"['B', 'F', 'G', 'K', 'N', 'O']"
"['A', 'D', 'E', 'N', 'O', 'P']"
"['A', 'B', 'C', 'F', 'H', 'K']"
"['B', 'C', 'G', 'K', 'L', 'P']"
"['A', 'C', 'F', 'I', 'K', 'O']"
"['A', 'C', 'F', 'H', 'J', 'K']"
"['E', 'F', 'G', 'L', 'P', 'Q']"
"['A', 'E', 'F', 'I', 'L', 'P']"
"['B', 'G', 'M', 'N', 'O', 'P']"
"['D', 'F', 'J', 'L', 'M', 'Q']"
"['A', 'B', 'D', 'G', 'K', 'Q']"
"['A', 'G', 'J', 'M', 'N', 'Q']"
"['A', 'F', 'L', 'M', 'O', 'P']"
"['A', 'C', 'K', 'M', 'N', 'O']"
"['B', 'D', 'F', 'J', 'L', 'O']"
"['B', 'C', 'E', 'M', 'N', 'P']"
"['G', 'J', 'L', 'M', 'N', 'Q']"
"['E', 'H', 'J', 'M', 'N', 'Q']"
"['B', 'C', 'D', 'E', 'F', 'H']"
"['A', 'C', 'D', 'E', 'F', 'L']"
"['B', 'F', 'I', 'L', 'M', 'Q']"
"['H', 'J', 'M', 'N', 'O', 'P']"
"['A', 'C', 'D', 'J', 'K', 'P']"
"['C', 'F', 'G', 'I', 'K', 'L']"
"['B', 'H', 'M', 'N', 'O', 'Q']"
"['A', 'F', 'G', 'I', 'M', 'N']"
"['A', 'F', 'H', 'I', 'N', 'Q']"
"['A', 'B', 'D', 'E', 'L', 'M']"
"['A', 'B', 'C', 'K', 'N', 'P']"
"['I', 'J', 'L', 'M', 'N', 'O']"
"['C', 'E', 'F', 'G', 'K', 'L']"
"['D', 'E', 'F', 'I', 'J', 'K']"
"['B', 'D', 'F', 'N', 'O', 'P']"
"['B', 'C', 'I', 'J', 'M', 'O']"
"['D', 'F', 'I', 'K', 'L', 'Q']"
"['D', 'E', 'F', 'I', 'J', 'N']"
"['A', 'E', 'G', 'H', 'N', 'O']"
"['B', 'F', 'I', 'L', 'O', 'Q']"
"['A', 'D', 'G', 'H', 'L', 'M']"
"['B', 'G', 'I', 'K', 'M', 'Q']"
"['A', 'B', 'D', 'F', 'G', 'H']"
"['B', 'C', 'F', 'M', 'O', 'Q']"
"['E', 'I', 'L', 'M', 'P', 'Q']"
"['I', 'J', 'M', 'N', 'O', 'P']"
"['D', 'E', 'I', 'J', 'M', 'O']"
"['A', 'E', 'G', 'H', 'K', 'P']"
"['C', 'G', 'H', 'K', 'M', 'N']"
"['A', 'C', 'F', 'I', 'J', 'P']"
"['A', 'C', 'I', 'N', 'P', 'Q']"
"['B', 'C', 'K', 'L', 'O', 'Q']"
"['C', 'I', 'J', 'K', 'O', 'Q']"
"['A', 'C', 'F', 'H', 'L', 'M']"
"['C', 'E', 'G', 'I', 'L', 'O']"
"['A', 'B', 'E', 'I', 'N', 'Q']"
"['B', 'C', 'D', 'J', 'M', 'P']"
"['C', 'F', 'H', 'L', 'N', 'Q']"
"['F', 'G', 'K', 'L', 'O', 'P']"
"['A', 'C', 'D', 'F', 'K', 'M']"
"['C', 'D', 'F', 'H', 'I', 'P']"
"['B', 'D', 'H', 'M', 'P', 'Q']"
"['A', 'C', 'J', 'M', 'P', 'Q']"
"['C', 'I', 'L', 'M', 'P', 'Q']"
"['B', 'D', 'E', 'F', 'I', 'K']"
"['C', 'D', 'E', 'H', 'J', 'Q']"
"['B', 'E', 'L', 'N', 'O', 'Q']"
"['A', 'G', 'I', 'N', 'P', 'Q']"
"['E', 'G', 'H', 'K', 'L', 'Q']"
"['A', 'B', 'D', 'E', 'J', 'M']"
"['C', 'E', 'F', 'L', 'N', 'O']"
"['B', 'F', 'G', 'I', 'K', 'N']"
"['D', 'E', 'I', 'K', 'M', 'N']"
"['A', 'C', 'D', 'G', 'M', 'P']"
"['A', 'D', 'F', 'H', 'M', 'N']"
"['B', 'F', 'G', 'H', 'O', 'Q']"
"['B', 'C', 'F', 'K', 'L', 'N']"
"['A', 'E', 'G', 'J', 'L', 'P']"
"['B', 'F', 'N', 'O', 'P', 'Q']"
"['A', 'B', 'E', 'F', 'G', 'L']"
"['D', 'K', 'L', 'N', 'O', 'P']"
"['C', 'E', 'G', 'J', 'M', 'P']"
"['B', 'D', 'E', 'F', 'I', 'Q']"
"['A', 'L', 'N', 'O', 'P', 'Q']"
"['B', 'D', 'F', 'K', 'O', 'P']"
"['D', 'H', 'I', 'J', 'K', 'Q']"
"['B', 'H', 'I', 'M', 'P', 'Q']"
"['C', 'J', 'K', 'L', 'M', 'N']"
"['A', 'B', 'F', 'I', 'K', 'N']"
"['I', 'M', 'N', 'O', 'P', 'Q']"
"['A', 'B', 'G', 'J', 'K', 'P']"
"['E', 'H', 'K', 'N', 'O', 'Q']"
"['C', 'F', 'I', 'L', 'O', 'Q']"
"['F', 'G', 'H', 'J', 'K', 'Q']"
"['G', 'K', 'M', 'O', 'P', 'Q']"
"['G', 'L', 'M', 'O', 'P', 'Q']"
"['B', 'C', 'G', 'I', 'N', 'O']"
"['A', 'C', 'K', 'L', 'N', 'O']"
"['B', 'H', 'I', 'J', 'M', 'Q']"
"['A', 'E', 'G', 'I', 'M', 'O']"
"['A', 'D', 'I', 'J', 'M', 'Q']"
"['C', 'F', 'G', 'K', 'N', 'P']"
"['F', 'H', 'I', 'K', 'L', 'N']"
"['A', 'F', 'J', 'K', 'O', 'P']"
"['E', 'F', 'H', 'J', 'K', 'P']"
"['A', 'B', 'H', 'J', 'M', 'O']"
"['B', 'C', 'H', 'I', 'J', 'Q']"
"['D', 'E', 'F', 'H', 'N', 'P']"
"['D', 'H', 'I', 'J', 'O', 'Q']"
"['C', 'G', 'H', 'J', 'N', 'P']"
"['B', 'C', 'G', 'H', 'O', 'P']"
"['C', 'E', 'F', 'K', 'N', 'P']"
"['A', 'E', 'I', 'K', 'N', 'O']"
"['A', 'C', 'F', 'H', 'K', 'Q']"
"['D', 'F', 'H', 'I', 'J', 'L']"
"['A', 'H', 'J', 'M', 'N', 'Q']"
"['C', 'H', 'I', 'J', 'K', 'O']"
"['F', 'G', 'J', 'L', 'M', 'N']"
"['E', 'F', 'K', 'L', 'M', 'P']"
"['B', 'F', 'J', 'K', 'L', 'N']"
"['A', 'B', 'E', 'G', 'K', 'L']"
"['D', 'I', 'K', 'M', 'O', 'P']"
"['A', 'D', 'E', 'F', 'I', 'K']"
"['C', 'D', 'F', 'G', 'I', 'L']"
"['B', 'F', 'H', 'N', 'P', 'Q']"
"['A', 'B', 'E', 'F', 'M', 'Q']"
"['A', 'D', 'E', 'G', 'J', 'Q']"
"['D', 'E', 'F', 'M', 'P', 'Q']"
"['A', 'E', 'J', 'O', 'P', 'Q']"
"['C', 'G', 'I', 'K', 'O', 'Q']"
"['A', 'C', 'F', 'G', 'O', 'P']"
"['B', 'C', 'D', 'H', 'P', 'Q']"
"['B', 'D', 'G', 'K', 'L', 'N']"
"['B', 'E', 'M', 'O', 'P', 'Q']"
"['D', 'E', 'H', 'K', 'P', 'Q']"
"['D', 'E', 'I', 'L', 'P', 'Q']"
"['C', 'F', 'I', 'K', 'M', 'P']"
"['B', 'F', 'K', 'L', 'M', 'Q']"
"['G', 'J', 'M', 'N', 'O', 'Q']"
"['A', 'C', 'D', 'H', 'M', 'P']"
"['A', 'C', 'G', 'J', 'K', 'N']"
"['A', 'B', 'H', 'M', 'N', 'P']"
"['A', 'G', 'H', 'M', 'O', 'P']"
"['B', 'C', 'H', 'L', 'O', 'Q']"
"['A', 'B', 'C', 'I', 'J', 'P']"
"['B', 'G', 'I', 'J', 'M', 'N']"
"['A', 'E', 'H', 'I', 'K', 'O']"
"['C', 'E', 'I', 'J', 'L', 'P']"
"['H', 'J', 'K', 'M', 'N', 'P']"
"['A', 'B', 'D', 'F', 'G', 'O']"
"['F', 'G', 'H', 'I', 'L', 'N']"
"['A', 'C', 'E', 'H', 'J', 'P']"
"['A', 'H', 'J', 'K', 'N', 'Q']"
"['A', 'B', 'C', 'D', 'J', 'N']"
"['B', 'D', 'E', 'H', 'N', 'P']"
"['A', 'E', 'G', 'J', 'K', 'M']"
"['D', 'E', 'J', 'M', 'O', 'P']"
"['A', 'C', 'F', 'G', 'L', 'N']"
"['A', 'B', 'E', 'K', 'O', 'P']"
"['A', 'D', 'E', 'F', 'L', 'M']"
"['C', 'I', 'J', 'L', 'N', 'O']"
"['D', 'G', 'I', 'L', 'N', 'O']"
"['E', 'G', 'I', 'K', 'N', 'P']"
"['C', 'E', 'G', 'H', 'O', 'P']"
"['D', 'E', 'F', 'M', 'O', 'P']"
"['A', 'F', 'K', 'N', 'P', 'Q']"
"['D', 'E', 'H', 'J', 'N', 'O']"
"['A', 'D', 'E', 'H', 'K', 'N']"
"['D', 'F', 'G', 'M', 'N', 'Q']"
"['A', 'C', 'H', 'M', 'O', 'Q']"
"['B', 'D', 'F', 'L', 'N', 'O']"
"['A', 'E', 'F', 'J', 'N', 'O']"
"['C', 'E', 'F', 'N', 'O', 'P']"
"['D', 'F', 'H', 'K', 'N', 'O']"
"['A', 'C', 'E', 'F', 'O', 'P']"
"['D', 'E', 'H', 'I', 'K', 'M']"
"['A', 'B', 'C', 'F', 'L', 'P']"
"['A', 'F', 'G', 'K', 'L', 'M']"
"['D', 'G', 'I', 'L', 'P', 'Q']"
"['C', 'I', 'K', 'L', 'M', 'Q']"
"['B', 'F', 'H', 'I', 'N', 'O']"
"['B', 'H', 'J', 'L', 'M', 'O']"
"['A', 'B', 'I', 'K', 'O', 'P']"
"['C', 'D', 'E', 'I', 'J', 'M']"
"['A', 'C', 'F', 'H', 'I', 'N']"
"['D', 'H', 'J', 'L', 'O', 'Q']"
"['A', 'C', 'G', 'I', 'K', 'N']"
"['E', 'F', 'G', 'H', 'I', 'P']"
"['D', 'F', 'K', 'L', 'M', 'N']"
"['A', 'B', 'E', 'H', 'I', 'M']"
"['B', 'F', 'G', 'I', 'O', 'Q']"
"['C', 'F', 'G', 'H', 'L', 'Q']"
"['A', 'B', 'C', 'F', 'J', 'K']"
"['A', 'B', 'C', 'D', 'E', 'N']"
"['A', 'C', 'D', 'L', 'N', 'Q']"
"['C', 'G', 'H', 'I', 'L', 'O']"
"['A', 'I', 'J', 'K', 'N', 'O']"
"['B', 'E', 'H', 'J', 'K', 'P']"
"['B', 'J', 'K', 'L', 'N', 'P']"
"['C', 'H', 'L', 'N', 'P', 'Q']"
"['D', 'J', 'L', 'O', 'P', 'Q']"
"['C', 'F', 'G', 'I', 'O', 'Q']"
"['C', 'D', 'H', 'J', 'L', 'Q']"
"['A', 'B', 'E', 'M', 'N', 'Q']"
"['B', 'C', 'G', 'H', 'L', 'Q']"
"['B', 'F', 'J', 'M', 'O', 'Q']"
"['E', 'H', 'I', 'N', 'O', 'P']"
"['E', 'F', 'G', 'I', 'M', 'P']"
"['D', 'F', 'G', 'H', 'P', 'Q']"
"['C', 'D', 'E', 'G', 'K', 'M']"
"['B', 'G', 'H', 'I', 'N', 'O']"
"['C', 'D', 'E', 'G', 'H', 'L']"
"['C', 'G', 'H', 'M', 'N', 'P']"
"['B', 'C', 'F', 'G', 'H', 'Q']"
"['D', 'F', 'G', 'L', 'P', 'Q']"
"['E', 'H', 'J', 'K', 'M', 'N']"
"['C', 'D', 'G', 'L', 'M', 'P']"
"['B', 'D', 'F', 'J', 'N', 'O']"
"['D', 'E', 'G', 'L', 'N', 'P']"
"['D', 'E', 'H', 'K', 'N', 'O']"
"['C', 'F', 'H', 'K', 'L', 'M']"
"['A', 'B', 'F', 'G', 'K', 'M']"
"['C', 'D', 'H', 'J', 'K', 'L']"
"['A', 'D', 'H', 'J', 'L', 'N']"
"['A', 'B', 'G', 'I', 'L', 'M']"
"['B', 'C', 'H', 'I', 'M', 'Q']"
"['A', 'B', 'F', 'K', 'L', 'Q']"
"['B', 'C', 'D', 'G', 'M', 'N']"
"['A', 'C', 'G', 'I', 'M', 'P']"
"['E', 'G', 'I', 'J', 'L', 'P']"
"['E', 'G', 'H', 'I', 'J', 'K']"
"['D', 'F', 'H', 'K', 'O', 'P']"
"['A', 'B', 'E', 'L', 'M', 'N']"
"['E', 'G', 'H', 'I', 'M', 'P']"
"['B', 'C', 'G', 'H', 'N', 'P']"
"['E', 'F', 'G', 'K', 'P', 'Q']"
"['A', 'C', 'D', 'G', 'K', 'P']"
"['C', 'F', 'G', 'J', 'L', 'P']"
"['B', 'D', 'E', 'J', 'N', 'Q']"
"['B', 'D', 'F', 'H', 'N', 'Q']"
"['B', 'E', 'I', 'J', 'L', 'O']"
"['D', 'E', 'G', 'M', 'N', 'Q']"
"['E', 'G', 'H', 'K', 'M', 'N']"
"['C', 'D', 'F', 'G', 'I', 'P']"
"['A', 'D', 'L', 'M', 'N', 'O']"
"['A', 'E', 'F', 'J', 'P', 'Q']"
"['B', 'C', 'G', 'N', 'O', 'Q']"
"['A', 'E', 'K', 'M', 'N', 'P']"
"['A', 'B', 'H', 'I', 'N', 'O']"
"['A', 'D', 'G', 'H', 'P', 'Q']"
"['A', 'E', 'F', 'I', 'K', 'L']"
"['A', 'E', 'K', 'M', 'P', 'Q']"
"['B', 'C', 'G', 'H', 'P', 'Q']"
"['B', 'C', 'D', 'H', 'M', 'P']"
"['D', 'F', 'G', 'L', 'N', 'O']"
"['C', 'E', 'I', 'L', 'N', 'P']"
"['B', 'C', 'G', 'J', 'K', 'P']"
"['B', 'C', 'G', 'I', 'J', 'L']"
"['A', 'B', 'D', 'M', 'O', 'P']"
"['A', 'D', 'E', 'K', 'L', 'N']"
"['E', 'I', 'J', 'M', 'O', 'Q']"
"['A', 'F', 'G', 'I', 'L', 'P']"
"['C', 'D', 'G', 'L', 'O', 'Q']"
"['A', 'C', 'H', 'J', 'O', 'P']"
"['B', 'D', 'E', 'K', 'L', 'Q']"
"['C', 'D', 'F', 'G', 'H', 'J']"
"['A', 'D', 'E', 'G', 'K', 'Q']"
"['A', 'B', 'E', 'I', 'J', 'N']"
"['D', 'H', 'L', 'M', 'P', 'Q']"
"['A', 'D', 'G', 'K', 'N', 'O']"
"['C', 'D', 'G', 'L', 'M', 'N']"
"['A', 'D', 'G', 'J', 'M', 'N']"
"['A', 'C', 'D', 'I', 'M', 'Q']"
"['A', 'D', 'E', 'J', 'M', 'N']"
"['A', 'C', 'D', 'E', 'O', 'Q']"
"['A', 'D', 'E', 'F', 'H', 'Q']"
"['B', 'F', 'G', 'L', 'O', 'P']"
"['A', 'C', 'D', 'G', 'J', 'N']"
"['A', 'C', 'H', 'K', 'L', 'P']"
"['E', 'F', 'J', 'K', 'M', 'N']"
"['B', 'C', 'D', 'H', 'J', 'L']"
"['B', 'C', 'F', 'H', 'I', 'N']"
"['B', 'C', 'I', 'J', 'K', 'N']"
"['E', 'K', 'L', 'N', 'P', 'Q']"
"['C', 'L', 'M', 'N', 'O', 'P']"
"['F', 'H', 'I', 'K', 'L', 'M']"
"['C', 'D', 'E', 'H', 'I', 'Q']"
"['B', 'I', 'J', 'K', 'M', 'Q']"
"['B', 'C', 'D', 'G', 'H', 'I']"
"['B', 'H', 'J', 'K', 'L', 'P']"
"['B', 'C', 'E', 'G', 'J', 'Q']"
"['B', 'D', 'E', 'F', 'L', 'O']"
"['H', 'J', 'K', 'L', 'M', 'O']"
"['A', 'B', 'G', 'H', 'J', 'P']"
"['C', 'E', 'H', 'I', 'N', 'P']"
"['B', 'E', 'F', 'I', 'J', 'K']"
"['A', 'B', 'L', 'M', 'N', 'P']"
"['B', 'E', 'H', 'I', 'K', 'P']"
"['G', 'K', 'L', 'N', 'O', 'P']"
"['C', 'I', 'L', 'O', 'P', 'Q']"
"['F', 'J', 'K', 'L', 'N', 'Q']"
"['F', 'G', 'I', 'J', 'K', 'M']"
"['A', 'G', 'I', 'J', 'K', 'O']"
"['A', 'B', 'C', 'M', 'N', 'P']"
"['B', 'C', 'E', 'L', 'M', 'P']"
"['A', 'F', 'J', 'K', 'L', 'P']"
"['C', 'E', 'J', 'L', 'N', 'Q']"
"['A', 'G', 'H', 'I', 'K', 'P']"
"['B', 'G', 'J', 'N', 'O', 'P']"
"['D', 'F', 'G', 'I', 'L', 'N']"
"['A', 'B', 'D', 'G', 'P', 'Q']"
"['C', 'E', 'G', 'H', 'L', 'O']"
"['A', 'B', 'E', 'F', 'J', 'M']"
"['B', 'D', 'E', 'M', 'N', 'Q']"
"['E', 'G', 'H', 'K', 'N', 'P']"
"['B', 'C', 'F', 'H', 'J', 'N']"
"['D', 'I', 'J', 'K', 'L', 'P']"
"['A', 'C', 'F', 'G', 'I', 'N']"
"['E', 'G', 'I', 'L', 'O', 'P']"
"['B', 'C', 'D', 'I', 'J', 'N']"
"['C', 'D', 'E', 'H', 'K', 'N']"
"['B', 'D', 'I', 'K', 'N', 'P']"
"['D', 'F', 'H', 'J', 'M', 'O']"
"['E', 'F', 'H', 'K', 'M', 'P']"
"['B', 'D', 'J', 'M', 'N', 'P']"
"['C', 'H', 'J', 'K', 'M', 'N']"
"['A', 'C', 'J', 'K', 'O', 'Q']"
"['C', 'D', 'E', 'J', 'K', 'O']"
"['B', 'D', 'J', 'K', 'N', 'Q']"
"['B', 'C', 'L', 'M', 'O', 'P']"
"['E', 'K', 'L', 'M', 'O', 'Q']"
"['A', 'B', 'E', 'H', 'J', 'O']"
"['I', 'J', 'K', 'L', 'N', 'Q']"
"['D', 'E', 'G', 'M', 'P', 'Q']"
"['A', 'B', 'G', 'H', 'L', 'Q']"
"['A', 'C', 'G', 'J', 'K', 'O']"
"['A', 'B', 'C', 'G', 'M', 'O']"
"['F', 'G', 'I', 'J', 'O', 'Q']"
"['A', 'G', 'H', 'I', 'J', 'O']"
"['I', 'K', 'L', 'N', 'P', 'Q']"
"['D', 'F', 'H', 'M', 'N', 'O']"
"['B', 'E', 'I', 'K', 'M', 'N']"
"['H', 'I', 'J', 'K', 'N', 'Q']"
"['F', 'G', 'I', 'N', 'O', 'Q']"
"['B', 'C', 'D', 'E', 'F', 'G']"
"['A', 'B', 'E', 'H', 'K', 'Q']"
"['H', 'I', 'L', 'N', 'O', 'Q']"
"['D', 'G', 'H', 'K', 'L', 'M']"
"['A', 'B', 'C', 'H', 'L', 'O']"
"['B', 'C', 'D', 'E', 'F', 'O']"
"['A', 'E', 'F', 'H', 'J', 'P']"
"['A', 'B', 'F', 'H', 'K', 'M']"
"['A', 'C', 'D', 'F', 'J', 'P']"
"['B', 'C', 'F', 'I', 'K', 'O']"
"['C', 'E', 'M', 'O', 'P', 'Q']"
"['A', 'C', 'F', 'J', 'K', 'M']"
"['A', 'E', 'F', 'K', 'M', 'O']"
"['A', 'B', 'E', 'H', 'I', 'Q']"
"['B', 'C', 'D', 'H', 'K', 'O']"
"['C', 'D', 'J', 'K', 'P', 'Q']"
"['D', 'F', 'H', 'J', 'O', 'P']"
"['F', 'I', 'J', 'N', 'P', 'Q']"
"['A', 'B', 'F', 'G', 'J', 'O']"
"['B', 'C', 'F', 'J', 'L', 'P']"
"['B', 'C', 'E', 'H', 'M', 'N']"
"['G', 'I', 'L', 'M', 'P', 'Q']"
"['C', 'D', 'F', 'K', 'L', 'M']"
"['A', 'B', 'C', 'D', 'F', 'G']"
"['B', 'E', 'F', 'G', 'L', 'N']"
"['B', 'H', 'J', 'M', 'N', 'P']"
"['A', 'E', 'G', 'I', 'K', 'N']"
"['B', 'C', 'E', 'L', 'O', 'P']"
"['B', 'D', 'G', 'I', 'O', 'Q']"
"['D', 'E', 'I', 'M', 'O', 'P']"
"['B', 'D', 'E', 'H', 'J', 'Q']"
"['F', 'H', 'I', 'L', 'O', 'Q']"
"['C', 'E', 'F', 'J', 'M', 'O']"
"['D', 'F', 'G', 'M', 'O', 'Q']"
"['A', 'C', 'G', 'J', 'M', 'P']"
"['D', 'F', 'J', 'K', 'N', 'P']"
"['B', 'C', 'K', 'M', 'P', 'Q']"
"['A', 'D', 'E', 'F', 'H', 'M']"
"['A', 'I', 'J', 'K', 'L', 'N']"
"['C', 'D', 'F', 'N', 'O', 'Q']"
"['A', 'C', 'E', 'L', 'N', 'Q']"
"['C', 'I', 'J', 'K', 'L', 'P']"
"['C', 'E', 'F', 'H', 'M', 'N']"
"['A', 'D', 'G', 'J', 'K', 'M']"
"['B', 'H', 'J', 'L', 'O', 'P']"
"['C', 'D', 'E', 'F', 'I', 'M']"
"['B', 'D', 'G', 'J', 'N', 'P']"
"['D', 'E', 'H', 'I', 'O', 'Q']"
"['E', 'F', 'H', 'L', 'M', 'O']"
"['B', 'D', 'H', 'L', 'O', 'P']"
"['G', 'H', 'M', 'N', 'P', 'Q']"
"['A', 'F', 'I', 'J', 'M', 'Q']"
"['D', 'E', 'H', 'I', 'J', 'N']"
"['D', 'E', 'F', 'K', 'O', 'P']"
"['A', 'D', 'J', 'L', 'O', 'Q']"
"['C', 'F', 'I', 'N', 'O', 'Q']"
"['A', 'E', 'N', 'O', 'P', 'Q']"
"['B', 'C', 'F', 'G', 'H', 'J']"
"['C', 'D', 'I', 'J', 'L', 'O']"
"['C', 'D', 'F', 'J', 'L', 'M']"
"['C', 'E', 'F', 'M', 'O', 'Q']"
"['C', 'G', 'J', 'L', 'O', 'P']"
"['A', 'F', 'L', 'O', 'P', 'Q']"
"['D', 'G', 'H', 'J', 'N', 'Q']"
"['D', 'G', 'H', 'K', 'M', 'P']"
"['A', 'D', 'E', 'H', 'L', 'Q']"
"['C', 'E', 'G', 'I', 'K', 'P']"
"['B', 'D', 'E', 'H', 'J', 'K']"
"['C', 'G', 'H', 'I', 'L', 'N']"
"['B', 'C', 'D', 'E', 'L', 'Q']"
"['E', 'F', 'K', 'L', 'M', 'Q']"
"['E', 'H', 'I', 'J', 'K', 'P']"
"['D', 'F', 'G', 'I', 'K', 'M']"
"['A', 'F', 'L', 'M', 'P', 'Q']"
"['A', 'B', 'C', 'G', 'K', 'N']"
"['B', 'C', 'G', 'K', 'L', 'O']"
"['A', 'C', 'F', 'I', 'J', 'K']"
"['A', 'B', 'E', 'M', 'O', 'P']"
"['C', 'E', 'F', 'H', 'I', 'O']"
"['A', 'C', 'F', 'K', 'M', 'O']"
"['D', 'H', 'I', 'L', 'N', 'Q']"
"['B', 'D', 'G', 'L', 'N', 'Q']"
"['B', 'C', 'E', 'J', 'M', 'O']"
